

0, 0.11705494786808612, 'baseline'
0, 0.12224683337191711, 'audiolen'
0, 0.23205924383826415, 'everything'
0, 0.2298805594846156, 'wordcount'


10, 0.12347564675123801, 'baseline'
10, 0.13611223459608945, 'audiolen'
10, 0.24373842217887243, 'everything'
10, 0.2422219237202884, 'wordcount'


11, 0.10835027717952583, 'baseline'
11, 0.12299093091660274, 'audiolen'
11, 0.23791309364482582, 'everything'
11, 0.23620341789230814, 'wordcount'


1, 0.14175077331367136, 'baseline'
1, 0.1471664249556084, 'audiolen'
1, 0.24172897911685298, 'everything'
1, 0.23952925613172626, 'wordcount'


2, 0.1504163144694488, 'baseline'
2, 0.159014081559943, 'audiolen'
2, 0.25238105956954193, 'everything'
2, 0.25060546403293493, 'wordcount'


3, 0.19595449765010098, 'baseline'
3, 0.2035077733088676, 'audiolen'
3, 0.27158693680530976, 'everything'
3, 0.27029917558618066, 'wordcount'


4, 0.2535642033857264, 'baseline'
4, 0.25963864071659926, 'audiolen'
4, 0.32563363908247656, 'everything'
4, 0.32415719776630836, 'wordcount'


5, 0.32624181352468695, 'baseline'
5, 0.3346627127107643, 'audiolen'
5, 0.385060560556579, 'everything'
5, 0.38444218783887185, 'wordcount'


6, 0.37981278724096057, 'baseline'
6, 0.38707408294991286, 'audiolen'
6, 0.42895025581289803, 'everything'
6, 0.4282514328743747, 'wordcount'


7, 0.39711354885464123, 'baseline'
7, 0.4073697365160325, 'audiolen'
7, 0.4504158330980067, 'everything'
7, 0.4497622768887568, 'wordcount'


8, 0.3386925347484636, 'baseline'
8, 0.3477639340303311, 'audiolen'
8, 0.3962512854604281, 'everything'
8, 0.39502859897408305, 'wordcount'


9, 0.20977001874295143, 'baseline'
9, 0.22157877707553497, 'audiolen'
9, 0.3050561746605618, 'everything'
9, 0.3032557197001152, 'wordcount'


0, 0.20402218038520625, 'WL-base'
0, 0.02902148134074567, 'AL-base'
1, 0.20402218038520625, 'WL-base'
1, 0.02902148134074567, 'AL-base'
2, 0.20402218038520625, 'WL-base'
2, 0.02902148134074567, 'AL-base'
3, 0.20402218038520625, 'WL-base'
3, 0.02902148134074567, 'AL-base'
4, 0.20402218038520625, 'WL-base'
4, 0.02902148134074567, 'AL-base'
5, 0.20402218038520625, 'WL-base'
5, 0.02902148134074567, 'AL-base'
6, 0.20402218038520625, 'WL-base'
6, 0.02902148134074567, 'AL-base'
7, 0.20402218038520625, 'WL-base'
7, 0.02902148134074567, 'AL-base'
8, 0.20402218038520625, 'WL-base'
8, 0.02902148134074567, 'AL-base'
9, 0.20402218038520625, 'WL-base'
9, 0.02902148134074567, 'AL-base'
10, 0.20402218038520625, 'WL-base'
10, 0.02902148134074567, 'AL-base'
11, 0.20402218038520625, 'WL-base'
11, 0.02902148134074567, 'AL-base'
